level,pathway,Total_Genes,DEGs,Upregulated,Downregulated,Pct_Up,Pct_Down,Enrichment_P,Enrichment_FDR,Enrichment_OR,Enrichment_Sig,Directional_P,Directional_FDR,Directional_OR,Directional_Sig
level_1,Nucleotide metabolism,37,10,1,9,10.0,90.0,0.48570225823040275,0.9998244315903484,1.0743739691108112,ns,0.006795349796823072,0.026304240622073004,0.0886058890910316,*
level_1,OXPHOS assembly factors,67,24,0,24,0.0,100.0,0.04141082420483467,0.7417404621061384,1.6237130469057943,ns,3.2693872276269283e-09,3.705305524643852e-08,0.0,***
level_1,OXPHOS subunits,102,25,0,25,0.0,100.0,0.6407345510384319,0.9998244315903484,0.9411070448710327,ns,1.440746913869494e-09,2.4492697535781396e-08,0.0,***
level_1,Protein homeostasis,53,10,3,7,30.0,70.0,0.9050042759890742,0.9998244315903484,0.673351536264633,ns,0.12090049851078102,0.22836760829814193,0.34270101483216237,ns
level_1,Protein import and sorting,49,10,2,8,20.0,80.0,0.8426918634707351,0.9998244315903484,0.7427592650264715,ns,0.028027201060377156,0.07941040300440194,0.19963592233009708,ns
level_1,SLC25A family,51,14,5,9,35.714285714285715,64.28571428571429,0.43585332834671786,0.9998244315903484,1.097808619430241,ns,0.17846326189706493,0.2928620087733846,0.4441067207024654,ns
level_1,Sulfur metabolism,11,2,0,2,0.0,100.0,0.8159172306227018,0.9998244315903484,0.6442350829968596,ns,0.19811253534670134,0.2928620087733846,0.0,ns
level_1,Trafficking,7,2,1,1,50.0,50.0,0.5709229229994508,0.9998244315903484,1.1601615074024225,ns,1.0,1.0,0.8023044269254094,ns
level_1,Translation,155,38,1,37,2.631578947368421,97.36842105263158,0.6564644140672327,0.9998244315903484,0.9411723607908894,ns,1.6277557568477292e-12,5.5343695732822795e-11,0.02109386524183371,***
level_1,Vitamin metabolism,50,12,3,9,25.0,75.0,0.657632428084082,0.9998244315903484,0.9154909556132059,ns,0.041651898072943866,0.10115460960572083,0.266140457397288,ns
level_1,cAMP-PKA signaling,6,1,1,0,100.0,0.0,0.8310191067816908,0.9998244315903484,0.5798856374032964,ns,1.0,1.0,inf,ns
level_1,mtDNA maintenance,31,6,0,6,0.0,100.0,0.8438335157023491,0.9998244315903484,0.6954177897574124,ns,0.007736541359433237,0.026304240622073004,0.0,*
level_1,mtRNA metabolism,76,21,6,15,28.57142857142857,71.42857142857143,0.3872377637303416,0.9998244315903484,1.1080873072068467,ns,0.014956894872624674,0.04623040233356717,0.31849148418491485,*
level_2,Biotin utilizing proteins,5,1,1,0,100.0,0.0,0.772718738286186,0.9993980168937888,0.7249411368987555,ns,1.0,1.0,inf,ns
level_2,Branched-chain amino acid dehydrogenase complex,6,1,0,1,0.0,100.0,0.8310191067816908,0.9993980168937888,0.5798856374032964,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Branched-chain amino acid metabolism,25,1,0,1,0.0,100.0,0.9993980168937888,0.9993980168937888,0.12054322233434242,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,CIII assembly factors,6,3,0,3,0.0,100.0,0.17963878038620068,0.9993980168937888,2.902053180747223,ns,0.0881240820081895,0.3436839198319391,0.0,ns
level_2,CIII subunits,10,1,0,1,0.0,100.0,0.9483816396643154,0.9993980168937888,0.32200919385581345,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,CII assembly factors,4,1,0,1,0.0,100.0,0.6943131620958503,0.9993980168937888,0.9667003027245207,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,CII subunits,4,2,0,2,0.0,100.0,0.2725489978987079,0.9993980168937888,2.9014131897711977,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,CIV assembly factors,29,10,0,10,0.0,100.0,0.18741172111713467,0.9993980168937888,1.528162511542013,ns,0.0003000905998381298,0.007802355595791374,0.0,**
level_2,CIV subunits,21,2,0,2,0.0,100.0,0.983697173518015,0.9993980168937888,0.30480980378267336,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,CI assembly factors,21,9,0,9,0.0,100.0,0.06458181951125906,0.9993980168937888,2.1786677908937606,ns,0.0006766301357566958,0.01319428764725557,0.0,*
level_2,CI subunits,43,14,0,14,0.0,100.0,0.19124673694530447,0.9993980168937888,1.4019571295433364,ns,1.1561540298930577e-05,0.0008761588796750896,0.0,***
level_2,CV assembly factors,5,2,0,2,0.0,100.0,0.38069085733450825,0.9993980168937888,1.934051144010767,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,CV subunits,21,4,0,4,0.0,100.0,0.8259482631407076,0.9993980168937888,0.6819568231332938,ns,0.03918273723756928,0.19101584403315025,0.0,ns
level_2,Calcium cycle,9,1,0,1,0.0,100.0,0.9305644386849368,0.9993980168937888,0.3623023881601076,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Chaperones,17,3,1,2,33.33333333333333,66.66666666666666,0.8505417086504216,0.9993980168937888,0.6210751550704429,ns,0.5887279828680135,0.6957694342985614,0.4008489993935719,ns
level_2,Cholesterol-associated,2,2,0,2,0.0,100.0,0.06572524603977178,0.9993980168937888,inf,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Coenzyme Q metabolism,13,5,0,5,0.0,100.0,0.22231318405309353,0.9993980168937888,1.8139525092623778,ns,0.017414549883364123,0.1234849900820365,0.0,ns
level_2,Copper metabolism,7,2,0,2,0.0,100.0,0.5709229229994508,0.9993980168937888,1.1601615074024225,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Creatine metabolism,3,1,0,1,0.0,100.0,0.5888721210465647,0.9993980168937888,1.450218634376051,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Cytochromes,5,2,0,2,0.0,100.0,0.38069085733450825,0.9993980168937888,1.934051144010767,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,EF hand proteins,11,2,0,2,0.0,100.0,0.8159172306227018,0.9993980168937888,0.6442350829968596,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Fatty acid oxidation,45,7,5,2,71.42857142857143,28.57142857142857,0.9638085921100885,0.9993980168937888,0.5331364305607295,ns,0.47209574948507216,0.5844994993624703,2.0091185410334345,ns
level_2,Fe-S-containing proteins,31,7,0,7,0.0,100.0,0.716733985717507,0.9993980168937888,0.8455089315807213,ns,0.0034355665470798538,0.0446623651120381,0.0,*
