Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,GeneSymbol,Subcategory,GO_Terms,Description
ENSMUSG00000027470,ENSMUSG00000027470,Mylk2,76079.40418,0.848468944,0.138076997,6.144897127,8e-10,1.61e-08,"9,096826658",up,MYLK2,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000028414,ENSMUSG00000028414,Fktn,399.8664726,-1.289916172,0.174261146,-7.402201805,1.34e-13,5.63e-12,"12,87307436",down,FKTN,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000028854,ENSMUSG00000028854,Slc9a1,1102.84849,1.302169957,0.274302624,4.747201966,2.06e-06,1.75e-05,"5,68560609",up,SLC9A1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000030067,ENSMUSG00000030067,Foxp1,597.0106274,0.980961081,0.129677306,7.564631886,3.89e-14,1.84e-12,"13,41009001",up,FOXP1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000030562,ENSMUSG00000030562,Nox4,114.9230265,1.660424608,0.265109216,6.263171968,3.77e-10,8.06e-09,"9,423400439",up,NOX4,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000038119,ENSMUSG00000038119,Cdon,497.3715075,-0.507459675,0.142639533,-3.557636968,0.000374206,0.001536298,"3,426889263",down,CDON,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000051985,ENSMUSG00000051985,Igfn1,906.1573816,1.470195104,0.459347214,3.200618311,0.001371331,0.004631535,"2,862857841",up,IGFN1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000061780,ENSMUSG00000061780,Cfd,1168.404008,0.832276271,0.223694503,3.720593304,0.000198755,0.000888697,"3,701681297",up,CFD,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000062694,ENSMUSG00000062694,Cav3,832.6187479,-0.615524609,0.155774535,-3.95138145,7.77e-05,0.000396472,"4,109571377",down,CAV3,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000063275,ENSMUSG00000063275,Hacd1,700.2733439,-2.026307011,0.210017725,-9.648266646,5.0000000000000005e-22,9.2e-20,"21,3010857",down,HACD1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000066406,ENSMUSG00000066406,Akap13,3023.68462,0.683714525,0.124419995,5.495214213,3.9e-08,5.2e-07,"7,408672189",up,AKAP13,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
