gene_symbol,pathway,level,n_genes
Nubpl,Metabolism,level_0,464
Nudt13,Metabolism,level_0,464
Nudt19,Metabolism,level_0,464
Nudt2,Metabolism,level_0,464
Nudt5,Metabolism,level_0,464
Nudt8,Metabolism,level_0,464
Nudt9,Metabolism,level_0,464
Oat,Metabolism,level_0,464
Ogdh,Metabolism,level_0,464
Ogdhl,Metabolism,level_0,464
Osbpl1a,Metabolism,level_0,464
Otc,Metabolism,level_0,464
Oxct1,Metabolism,level_0,464
Oxct2a,Metabolism,level_0,464
Oxr1,Metabolism,level_0,464
Oxsm,Metabolism,level_0,464
Paics,Metabolism,level_0,464
Pank2,Metabolism,level_0,464
Pcbd2,Metabolism,level_0,464
Pcca,Metabolism,level_0,464
Pccb,Metabolism,level_0,464
Pck2,Metabolism,level_0,464
Pcx,Metabolism,level_0,464
Pdha1,Metabolism,level_0,464
Pdha2,Metabolism,level_0,464
Pdhb,Metabolism,level_0,464
Pdhx,Metabolism,level_0,464
Pdk1,Metabolism,level_0,464
Pdk2,Metabolism,level_0,464
Pdk3,Metabolism,level_0,464
Pdk4,Metabolism,level_0,464
Pdp1,Metabolism,level_0,464
Pdp2,Metabolism,level_0,464
Pdpr,Metabolism,level_0,464
Pdss1,Metabolism,level_0,464
Pdss2,Metabolism,level_0,464
Pgs1,Metabolism,level_0,464
Phyh,Metabolism,level_0,464
Pisd,Metabolism,level_0,464
Pld6,Metabolism,level_0,464
Plpbp,Metabolism,level_0,464
Plscr3,Metabolism,level_0,464
Pnpla8,Metabolism,level_0,464
Pnpo,Metabolism,level_0,464
Ppa2,Metabolism,level_0,464
Ppm1k,Metabolism,level_0,464
Ppox,Metabolism,level_0,464
Prdx2,Metabolism,level_0,464
Prdx3,Metabolism,level_0,464
Prdx4,Metabolism,level_0,464
Prdx5,Metabolism,level_0,464
Prdx6,Metabolism,level_0,464
Prelid1,Metabolism,level_0,464
Prelid3a,Metabolism,level_0,464
Prelid3b,Metabolism,level_0,464
Prodh,Metabolism,level_0,464
Prodh2,Metabolism,level_0,464
Prxl2a,Metabolism,level_0,464
Ptges2,Metabolism,level_0,464
Ptpmt1,Metabolism,level_0,464
Pycr1,Metabolism,level_0,464
Pycr2,Metabolism,level_0,464
Qdpr,Metabolism,level_0,464
Rdh13,Metabolism,level_0,464
Rdh14,Metabolism,level_0,464
Rfk,Metabolism,level_0,464
Rpia,Metabolism,level_0,464
Rsad1,Metabolism,level_0,464
Sardh,Metabolism,level_0,464
Sco1,Metabolism,level_0,464
Sco2,Metabolism,level_0,464
Scp2,Metabolism,level_0,464
Sdha,Metabolism,level_0,464
Sdhb,Metabolism,level_0,464
Sdhc,Metabolism,level_0,464
Sdhd,Metabolism,level_0,464
Sdsl,Metabolism,level_0,464
Selenoo,Metabolism,level_0,464
Serac1,Metabolism,level_0,464
Sfxn1,Metabolism,level_0,464
Sfxn3,Metabolism,level_0,464
Sfxn5,Metabolism,level_0,464
Shmt2,Metabolism,level_0,464
Sirt3,Metabolism,level_0,464
Sirt4,Metabolism,level_0,464
Sirt5,Metabolism,level_0,464
Slc25a1,Metabolism,level_0,464
Slc25a10,Metabolism,level_0,464
Slc25a11,Metabolism,level_0,464
Slc25a12,Metabolism,level_0,464
Slc25a13,Metabolism,level_0,464
Slc25a14,Metabolism,level_0,464
Slc25a15,Metabolism,level_0,464
Slc25a19,Metabolism,level_0,464
Slc25a2,Metabolism,level_0,464
Slc25a20,Metabolism,level_0,464
Slc25a21,Metabolism,level_0,464
Slc25a23,Metabolism,level_0,464
Slc25a24,Metabolism,level_0,464
Slc25a25,Metabolism,level_0,464
Slc25a28,Metabolism,level_0,464
Slc25a29,Metabolism,level_0,464
Slc25a3,Metabolism,level_0,464
Slc25a30,Metabolism,level_0,464
Slc25a31,Metabolism,level_0,464
Slc25a32,Metabolism,level_0,464
Slc25a33,Metabolism,level_0,464
Slc25a36,Metabolism,level_0,464
Slc25a37,Metabolism,level_0,464
Slc25a38,Metabolism,level_0,464
